,Hazard,Causes,Mitigation,Adaptation,Impacts,Invalid
2025-10-02,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-07,0.8,0.0,0.0,0.0,0.0,0.0
2025-10-09,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-10,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-11,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-12,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-14,0.7,0.0,0.0,0.0,0.0,0.0
2025-10-15,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-16,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-17,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-18,0.0,0.0,0.0,0.0,0.0,0.9
2025-10-19,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-20,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-21,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-22,0.0,0.0,0.0,0.0,0.0,3.4000000000000004
2025-10-23,1.6,0.0,0.0,0.0,0.0,0.9
2025-10-24,0.0,0.0,0.0,0.0,0.0,4.5
2025-10-25,0.0,0.0,0.0,0.0,0.0,1.8
2025-10-26,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-27,0.0,0.0,0.0,0.0,0.0,2.7
2025-10-28,0.6,0.0,0.0,0.0,0.0,7.200000000000001
2025-10-29,0.0,0.0,0.0,0.0,0.0,8.100000000000001
2025-10-30,1.6,0.0,0.0,0.0,0.0,3.6
2025-10-31,0.0,0.0,0.0,0.0,0.0,2.7
2025-11-01,0.0,0.0,0.0,0.0,0.0,2.5
2025-11-02,0.0,0.0,0.0,0.0,0.0,4.5
2025-11-03,0.0,0.0,0.0,0.0,0.0,7.200000000000001
2025-11-04,0.0,0.0,0.0,0.0,0.0,4.5
2025-11-05,0.0,0.0,0.0,0.0,0.0,4.5
2025-11-06,0.0,0.0,0.0,0.0,0.0,0.7
2025-11-07,0.8,0.0,0.0,0.0,0.0,1.8
2025-11-08,0.0,0.0,0.0,0.0,0.0,0.9
2025-11-09,0.0,0.0,0.0,0.0,0.0,9.000000000000002
2025-11-10,0.0,0.0,0.0,0.0,0.0,19.799999999999997
2025-11-11,0.0,0.0,0.0,0.0,0.0,4.5
2025-11-12,0.0,0.8,0.0,0.0,0.0,4.5
2025-11-16,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-17,0.8,0.8,0.0,0.0,0.0,0.7
2025-11-18,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-19,0.0,0.6,0.0,0.0,0.0,0.0
2025-11-20,0.0,0.0,0.0,0.0,0.7,0.8
2025-11-21,0.0,0.0,0.0,0.0,0.0,0.7
2025-11-23,0.8,0.0,0.0,0.0,0.0,0.0
2025-11-24,0.8,0.0,0.8,0.0,0.0,0.7
2025-11-25,0.8,0.0,0.0,0.0,0.0,1.4
2025-11-26,2.0999999999999996,0.6,0.0,0.0,0.0,0.0
2025-11-27,0.0,0.0,0.0,0.0,0.0,2.9000000000000004
2025-11-28,0.8,0.0,0.0,0.0,0.0,2.0999999999999996
2025-11-29,0.7,0.0,0.0,0.0,0.0,0.9
2025-11-30,0.0,0.7,0.0,0.0,0.0,0.0
2025-12-01,1.5,0.0,0.0,0.0,0.0,0.7
2025-12-02,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-03,0.0,0.0,0.0,0.0,0.0,1.4
2025-12-04,0.8,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-05,1.5,0.0,0.8,0.0,1.5,1.5
2025-12-06,0.8,0.0,0.0,0.0,0.0,3.5999999999999996
2025-12-07,0.0,0.0,0.7,0.0,0.0,0.0
2025-12-08,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-09,1.6,0.0,0.0,0.0,0.0,2.8
2025-12-10,1.6,1.5,0.0,0.0,0.0,2.0999999999999996
2025-12-11,0.0,0.0,0.0,0.0,0.0,0.8
2025-12-12,0.8,0.0,0.0,0.0,0.0,0.0
2025-12-13,0.8,0.0,0.0,0.0,0.0,3.0
2025-12-14,0.0,0.8,0.0,0.0,0.0,0.7
2025-12-15,0.0,0.0,0.0,0.0,0.0,1.5
2025-12-16,0.8,1.6,0.0,0.0,0.0,4.9
2025-12-17,0.8,0.7,0.0,0.0,0.0,2.8
2025-12-18,1.6,0.0,0.0,0.0,0.0,3.6000000000000005
2025-12-19,0.7,0.0,0.0,0.0,0.0,2.2
2025-12-20,0.0,0.0,0.0,0.0,0.0,3.0
2025-12-21,0.8,0.0,0.0,0.0,0.0,0.7
2025-12-22,0.0,0.0,0.0,0.0,0.0,5.2
2025-12-23,0.8,0.8,0.0,0.0,0.0,3.5999999999999996
2025-12-24,0.0,0.0,0.0,0.8,0.0,4.9
2025-12-25,0.0,0.0,0.0,0.0,0.0,1.5
2025-12-26,0.0,0.0,0.0,0.8,0.0,0.7
2025-12-27,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-29,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2025-12-30,0.8,0.0,0.0,0.0,0.0,1.4
2025-12-31,0.0,0.0,0.0,0.0,0.0,2.0999999999999996
2026-01-01,0.8,0.0,0.0,0.0,0.0,0.0
